83ED	冺	unan		min3
83EE	冾	uwgk		qia4
83EF	冿	uvfh	uvgh	jian1
83F0	凁	ugki	uskg	sou1
83F1	凂	uqkq		mei3
83F2	凃	uwty	uwgs	tu2
83F3	凅	uldg		gu4
83F4	凈	uevh		jing4
83F5	凊	ugeg		qing4
83F6	凍	ugji	usjg	dong4
83F7	凎	uqg		gan4
83F8	凐	usfg		yin1
83F9	凒	umgu		ai2
83FA	凓	ussy		li4
83FB	凔	uwyk		cang1
83FC	凕	upju		ming3
83FD	凖	uwyf		zhun3
83FE	凗	umwy		cui1
8440	凘	uadr	udwr	si1
8441	凙	ulff		duo2
8442	凚	ussi		jin4
8443	凜	uylt		lin3
8444	凞	utao		xi1
8445	凟	uflm		dou4,du2
8446	凢	tmv	twv	fan2
8447	凣	hmv	hwv	fan2
8448	凥	nmv	nwv	ju1
8449	処	tmv	twv	chu4
844A	凧	mmhk	wmhk	
844B	凨	mfci	wfci	feng1
844C	凩	msi	wsi	
844D	凪	mhd	whd	
844E	凬	mgjd	wgjd	feng1
844F	凮	mdjd	wdjd	feng1
8450	凱	mgkm	mgkw	kai3
8451	凲	muvo	wuvw	gan1
8452	凴	ucmb	ucow	ping2
8453	凷	fbk		kuai4
8454	凾	bkcb		han2
8455	刄	vyi		ren4
8456	刅	vwi		chuang1
8457	刉	tnjh		ji1
8458	刋	tdjh		qian4
8459	刌	fjh		cun3
845A	刏	rnjh	rjh	ji1
845B	刐	myjh		dan3
845C	刓	fqjh		wan2
845D	刔	nwjh		jue2
845E	刕	vvvb	vvvr	li2
845F	刜	xjjh		fu2
8460	刞	egjh		qu4
8461	刟	vkjh		diao1
8462	刡	najh		min3
8463	刢	wycj		ling2
8464	刣	ckjh		zhong1
8465	別	kqjh		bie2
8466	刦	fcjh		jie2
8467	刧	fcvn	fcvt	jie2
8468	刪	majh		shan1
8469	刬	gjh	gajh	chan3
846A	刯	gjgj		geng1
846B	刱	fjvw		chuang4
846C	刲	ffjh		kui1
846D	刴	esjh	bsjh	duo4
846E	刵	bjh		er4
846F	刼	fcvy		jie2
8470	刾	guwj	gudj	ci4
8471	剄	gvaj		jing3
8472	剅	gkuj		dou1
8473	剆	yvcj	yvjh	luo3
8474	則	mjh		ze2
8475	剈	kejh		yuan1
8476	剉	wwfj		cuo4
8477	剋	dqjk		ke4
8478	剎	qsyj	rsyj	sha1,cha4
8479	剏	uavy		chuang4
847A	剒	ajjh		cuo4
847B	剓	tqtv		li2
847C	剕	djdj	hdhj	fei4
847D	剗	aajh		chan4
847E	剘	adwj	dwjh	qi2
8480	剙	uavw		chuang4
8481	剚	gkvj		zi4
8482	剛	mumj		gang1
8483	剝	xgij	xijh	bo1
8484	剟	cccj		duo1,chi4
8485	剠	yijh		lue4,qing2
8486	剢	eyjh	geyj	du1,zhuo2
8487	剣	wgkj		jian4
8488	剤	yjfj	yjjh	ji4
8489	剦	djnj		
848A	剨	dhdj		huo1
848B	剫	yacj	oacj	duo2,du4
848C	剬	mdmj		duan1,tuan2,zhi4
848D	剭	ngcj		wu1
848E	剮	mnmj		gua3
848F	剰	tgaj		sheng4
8490	剱	wgky		jian4
8491	剳	awgj		da2
8492	剴	mgkj		kai3
8493	創	wyvj		chuang4
8494	剶	xejh		chuan1
8495	剷	uttj		chan3
8496	剸	gjhj		zhuan1,tuan2
8497	剹	nwej		lu4
8498	剺	fitv	ftdv	li2
8499	剻	meej		peng3
849A	剼	cccj		shan1
849B	剾	akkj		kou1
849C	劀	cbtj	cnhj	gua1
849D	劃	vflj		hua2
849E	劄	twgj		zha1
849F	劅	lqjj		zhuo2
84A0	劆	yuvj	ouvj	lian2
84A1	劇	haej	hgej	ju4
84A2	劉	qyvj		liu2
84A3	劊	wglj		gui4
84A4	劋	kkkj		jiao3,chao1
84A5	劌	hdgj		gui4
84A6	劍	wgkj		jian4
84A7	劎	wgkv		jian4
84A8	劏	ipkj		tang1
84A9	劑	yvuj	yjjh	ji4
84AA	劒	wgky		jian4
84AB	劔	wgky		jian4
84AC	劕	rrmj		zhi4
84AD	劖	qkxj		chan2
84AE	劗	tfqj		zuan1
84AF	劘	yssj	ossj	mi2
84B0	劙	xejj		li2
84B1	劚	nilj		zhu2
84B2	劜	lnn	enn	ya4
84B3	劤	rln	ret	jin4
84B4	劥	ymln	ywet	keng1
84B5	劦	lllb	eeer	xie2
84B6	劧	rln	ret	zhi3
84B7	劮	rwln	tget	yi4
84B8	劯	dln	det	zhu1
84B9	劰	rln	ret	mo4
84BA	労	iplb	iper	lao2
84BB	劵	udlb	uger	juan4
84BC	劶	rgkl	rgke	kou3
84BD	劷	udln	uet	yang2
84BE	劸	ffln	ffet	wa1
84BF	効	uqln	uret	xiao4
84C0	劺	crhl	ctge	mou2
84C1	劻	agln	aget	kuang1
84C2	劼	fkln	fket	jie2
84C3	劽	gqjl	gqje	lie4
84C4	勀	dqln	dqet	ke4
84C5	勁	gval	gvae	jin4
84C6	勂	tfkl	tfke	gao4
84C7	勄	txgl	txet	min3
84C8	勅	gkil	sket	chi4
84C9	勆	yvcl	yvet	lang2
84CA	勈	celn	ceet	yong3
84CB	勊	dqlv	dqee	ke4
84CC	勌	udbl	ugbe	juan4
84CD	勍	yiln	yiet	qing2
84CE	勎	fwfl	fwfe	lu4
